"UserID","UserNo","Name","Email","IP","ID","Started","Ended","Tracking","Q1","Q2","Q3","Q3.1","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4.6","Q4.7","Q4.8","Q4.9","Q4.10","Q4.11","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26.1","Q26.2","Q26.3","Q26.4","Q26.5","Q26.6","Q26.7","Q26.8","Q26.9","Q26.10","Q26.11","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27.7","Q27.8","Q27.9","Q27.10","Q27.11","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37.1","Q37.2","Q37.3","Q37.4","Q37.5","Q37.6","Q37.7","Q37.8","Q38.1","Q38.2","Q38.3","Q38.4","Q38.5","Q38.6","Q38.7","Q38.8","Q38.9","Q38.10","Q38.11","Q38.12","Q38.13","Q39.1","Q39.2","Q39.3","Q39.4","Q39.5","Q39.6","Q39.7","Q39.8","Q40","Q41","Q42","Q43","Q44","Q45","Q46"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Answer","Other (please specify)","Q4.1. Data Engineer (any profession)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q26.1. Matlab","Q26.2. Python","Q26.3. R","Q26.4. SAS","Q26.5. SPSS","Q26.6. SQL","Q26.7. Stata","Q26.8. VBA","Q26.9. Other open source tool (please specify)","Q26.10. Other license/closed source tool (please specify)","Q26.11. Other (please specify the tool and if it available to use for your work):","Q27.1. Matlab","Q27.2. Python","Q27.3. R","Q27.4. SAS","Q27.5. SPSS","Q27.6. SQL","Q27.7. Stata","Q27.8. VBA","Q27.9. Other open source tool (please specify)","Q27.10. Other license/closed source tool (please specify)","Q27.11. Other (please specify the tool and if it available to use for your work):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000000,1,NA,NA,"100.00.000.00",NA,1699042500,1699752600,"Web link 5","Civil service, including devolved administrations","Fast Stream","Department for Work & Pensions","test","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","test","test","test","test","test","test","test","test","test","Doctoral degree (or equivalent)","Mathematics","MSc","Yes","English","Other","No","test","test","test","Sometimes","Yes","Yes","I don't know","Yes","No","I don't know","No","Yes","Yes","No","Yes","some text","Yes","No","No","No","Not required for my work","Not required for my work","Yes","Not required for my work","Not required for my work","No","test","No","Yes","I don't know","test","test","Yes","I don't know","No","No","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Rarely","Regularly","Sometimes","Never","Never","Regularly","Regularly","Sometimes","Never","Rarely","Never","Regularly","I don't understand this question","I don't understand this question","Never","Never","Never","All the time","Regularly","Sometimes","Never","No","No","No","some text","test","test","test"
100000001,2,NA,NA,"100.00.000.00",NA,1697878800,1699965900,"Web link 5","Civil service, including devolved administrations","Grade 7 (or equivalent)","Crown Prosecution Service","test","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","test","test","test","test","test","test","test","test","test","Any other qualification","test","test","test","test","test","test","test","test","test","Sometimes","Yes","I don't know","Yes","I don't know","Yes","I don't know","I don't know","No","I don't know","No","Yes","some text","Yes","Yes","Not required for my work","Yes","Not required for my work","No","Yes","Not required for my work","Yes","No","test","I don't know","No","No","test","test","No","test","test","test","Neutral","Agree","Agree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","All the time","All the time","Rarely","I don't understand this question","I don't understand this question","Never","Rarely","Regularly","Never","Sometimes","All the time","I don't understand this question","Rarely","Rarely","I don't understand this question","All the time","I don't understand this question","Never","Never","All the time","Regularly","No","No","I don't know","some text","some text","some text","test"
100000002,3,NA,NA,"100.00.000.00",NA,1700038800,1698921900,"Web link 3","NHS or local healthcare service","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","NHS","Band 5","test","Scotland","test","Regional Health Board","test","test","Doctoral degree (or equivalent)","Other","PhD","No","Other","MSc","Yes","Other","BSc","No","Sometimes","No","Yes","I don't know","Yes","Yes","Yes","I don't know","I don't know","No","I don't know","No","test","Not required for my work","No","Yes","Yes","Not required for my work","Yes","Not required for my work","No","Not required for my work","No","test","No","Yes","I don't know","test","test","No","test","test","test","Disagree","Agree","Strongly Agree","Strongly Disagree","Disagree","Agree","Strongly Agree","Strongly Disagree","I don't understand this question","Rarely","Regularly","Rarely","Regularly","Never","Never","I don't understand this question","I don't understand this question","Rarely","Never","Rarely","I don't understand this question","I don't understand this question","All the time","I don't understand this question","I don't understand this question","Sometimes","Regularly","All the time","All the time","I don't know","No","Yes","test","some text","some text","test"
100000003,4,NA,NA,"100.00.000.00",NA,1699635600,1698407100,"Default Web Link","Civil service, including devolved administrations","SCS Pay Band 1 (or equivalent)","Office of the Leader of the House of Lords","test","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","test","test","test","test","test","test","test","test","test","Master's degree (or equivalent)","Other","PhD","No","Science","MSc","No","Science","PhD","No","Regularly","Yes","No","No","Yes","I don't know","I don't know","Yes","No","I don't know","Yes","Yes","test","Not required for my work","Not required for my work","Not required for my work","Not required for my work","Not required for my work","Yes","No","Not required for my work","No","Not required for my work","test","I don't know","Yes","Yes","Previous public sector employment","It has stayed the same","No","test","test","test","Neutral","Agree","Neutral","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Neutral","Regularly","Regularly","Sometimes","Never","All the time","Sometimes","Regularly","Regularly","Sometimes","Rarely","Rarely","All the time","All the time","I don't understand this question","All the time","I don't understand this question","Never","Regularly","Never","Sometimes","I don't understand this question","No","No","Yes","some text","some text","some text","some text"
100000004,5,NA,NA,"100.00.000.00",NA,1699492500,1697870700,"Web link 5","Civil service, including devolved administrations","Other","HM Prison and Probation Service","test","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","test","test","test","test","test","test","test","test","test","Any other qualification","test","test","test","test","test","test","test","test","test","Never","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","some text","some text","some text","test"
100000005,6,NA,NA,"100.00.000.00",NA,1698402600,1698991200,"Web link 5","NHS or local healthcare service","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","NHS","Band 6","test","Wales","test","test","Local Health Board","test","Master's degree (or equivalent)","Science","Other","Yes","Mathematics","Other","Yes","English","MSc","Yes","All the time","No","No","No","I don't know","No","No","Yes","Yes","I don't know","No","Yes","test","Yes","Yes","No","Not required for my work","Not required for my work","Yes","No","No","No","No","some text","No","Yes","No","test","test","No","test","test","test","Neutral","Disagree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","I don't understand this question","Sometimes","I don't understand this question","Regularly","Sometimes","Never","All the time","Sometimes","Sometimes","I don't understand this question","Sometimes","Regularly","All the time","Rarely","Never","All the time","Rarely","Sometimes","Rarely","Sometimes","Sometimes","I don't know","No","Yes","some text","some text","test","test"
100000006,7,NA,NA,"100.00.000.00",NA,1698588000,1699182000,"Web link 5","NHS or local healthcare service","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","NHS","Band 5","test","Wales","test","test","Local Health Board","test","Doctoral degree (or equivalent)","English","MSc","No","test","test","test","test","test","test","Rarely","Yes","No","I don't know","I don't know","I don't know","I don't know","I don't know","No","I don't know","Yes","I don't know","test","No","Not required for my work","Yes","Not required for my work","No","Yes","No","Yes","Not required for my work","No","test","Yes","I don't know","I don't know","test","test","Yes","Yes","Yes, and I am a RAP Champion","No","Neutral","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Rarely","Rarely","Sometimes","Never","All the time","Sometimes","Rarely","Regularly","Rarely","I don't understand this question","Rarely","Regularly","Regularly","All the time","Sometimes","Sometimes","Regularly","Never","Rarely","Regularly","Rarely","Yes","I don't know","I don't know","some text","some text","some text","some text"
100000007,8,NA,NA,"100.00.000.00",NA,1698793200,1700019000,"Web link 4","Civil service, including devolved administrations","SCS Pay Band 1 (or equivalent)","Defence Science and Technology Laboratory","test","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","test","test","test","test","test","test","test","test","test","Master's degree (or equivalent)","Other","MSc","No","Other","Other","No","English","MSc","No","Never","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","test","some text","some text","test","test"
