"UserID","UserNo","Name","Email","IP","ID","Started","Ended","Tracking","Q1","Q2","Q3","Q3.1","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4.6","Q4.7","Q4.8","Q4.9","Q4.10","Q4.11","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26.1","Q26.2","Q26.3","Q26.4","Q26.5","Q26.6","Q26.7","Q26.8","Q26.9","Q26.10","Q26.11","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27.7","Q27.8","Q27.9","Q27.10","Q27.11","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37.1","Q37.2","Q37.3","Q37.4","Q37.5","Q37.6","Q37.7","Q37.8","Q38.1","Q38.2","Q38.3","Q38.4","Q38.5","Q38.6","Q38.7","Q38.8","Q38.9","Q38.10","Q38.11","Q38.12","Q38.13","Q39.1","Q39.2","Q39.3","Q39.4","Q39.5","Q39.6","Q39.7","Q39.8","Q40","Q41","Q42","Q43","Q44","Q45","Q46"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Answer","Other (please specify)","Q4.1. Data Engineer (any profession)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q26.1. Matlab","Q26.2. Python","Q26.3. R","Q26.4. SAS","Q26.5. SPSS","Q26.6. SQL","Q26.7. Stata","Q26.8. VBA","Q26.9. Other open source tool (please specify)","Q26.10. Other license/closed source tool (please specify)","Q26.11. Other (please specify the tool and if it available to use for your work):","Q27.1. Matlab","Q27.2. Python","Q27.3. R","Q27.4. SAS","Q27.5. SPSS","Q27.6. SQL","Q27.7. Stata","Q27.8. VBA","Q27.9. Other open source tool (please specify)","Q27.10. Other license/closed source tool (please specify)","Q27.11. Other (please specify the tool and if it available to use for your work):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000000,1,NA,NA,"100.00.000.00",NA,1699325100,1697731200,"Web link 4","Civil service, including devolved administrations","Fast Stream","Scottish Public Pensions Agency",NA,"No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Any other qualification",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rarely","Yes","No","Yes","I don't know","I don't know","I don't know","I don't know","Yes","Yes","I don't know","Yes",NA,"Yes","Not required for my work","Not required for my work","Not required for my work","No","No","No","Yes","No","Yes",NA,"Yes","I don't know","I don't know",NA,NA,"No",NA,NA,NA,"Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","All the time","Regularly","Regularly","Never","Rarely","All the time","Regularly","Regularly","Sometimes","I don't understand this question","Sometimes","All the time","Never","Sometimes","All the time","I don't understand this question","All the time","All the time","I don't understand this question","Never","Never","I don't know","Yes","No",NA,NA,"some text","some text"
100000001,2,NA,NA,"100.00.000.00",NA,1697738400,1697679900,"Web Link 2","Civil service, including devolved administrations","Administrative Officer (or equivalent)","Department for Culture, Media & Sport",NA,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree (or equivalent)","Other","MSc","No","Science","MSc","No","Other","Other","Yes","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some text","some text","some text",NA
100000002,3,NA,NA,"100.00.000.00",NA,1698961500,1699664400,"Web link 4","Civil service, including devolved administrations","Grade 6 (or equivalent)","UK Debt Management Office",NA,"No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree (or equivalent)","English","BSc","Yes","Other","BSc","Yes","Science","Other","No","Sometimes","No","I don't know","I don't know","I don't know","I don't know","No","Yes","I don't know","I don't know","Yes","Yes",NA,"No","Not required for my work","No","Not required for my work","Yes","Yes","Yes","No","Yes","Yes",NA,"No","I don't know","I don't know",NA,NA,"Yes","I don't know","No","Yes, but I haven't read it","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","I don't understand this question","Never","I don't understand this question","I don't understand this question","All the time","Rarely","Rarely","Regularly","Sometimes","I don't understand this question","Regularly","Rarely","Regularly","All the time","I don't understand this question","Regularly","Rarely","All the time","Regularly","All the time","All the time","Yes","I don't know","Yes",NA,NA,NA,NA
100000003,4,NA,NA,"100.00.000.00",NA,1698374700,1699363800,"Web link 4","Civil service, including devolved administrations","Grade 7 (or equivalent)","Department for Levelling Up, Housing & Communities (excl. agencies)",NA,"No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree (or equivalent)","English","PhD","No","English","MSc","No","Science","Other","No","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some text",NA,"some text",NA
100000004,5,NA,NA,"100.00.000.00",NA,1698828300,1697652000,"Web link 5","NHS or local healthcare service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS","Band 5",NA,"Scotland",NA,"NHS Scotland",NA,NA,"Master's degree (or equivalent)","Other","BSc","No",NA,NA,NA,NA,NA,NA,"All the time","No","Yes","No","Yes","I don't know","Yes","No","No","No","No","Yes",NA,"Yes","Yes","Not required for my work","Yes","No","Yes","Yes","Yes","Yes","Not required for my work",NA,"I don't know","No","Yes","Education","It has become slightly better","No",NA,NA,NA,"Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Regularly","I don't understand this question","Never","Sometimes","I don't understand this question","I don't understand this question","Never","All the time","Never","Rarely","Sometimes","Sometimes","Regularly","Sometimes","Regularly","Regularly","Sometimes","Rarely","Rarely","Regularly","Regularly","I don't know","Yes","No",NA,NA,NA,NA
100000005,6,NA,NA,"100.00.000.00",NA,1697733000,1697995800,"Web Link 2","Civil service, including devolved administrations","Higher Executive Officer (or equivalent)","Supreme Court of the United Kingdom",NA,"No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Any other qualification",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some text","some text","some text",NA
100000006,7,NA,NA,"100.00.000.00",NA,1697709600,1698046200,"Web Link 2","Civil service, including devolved administrations","Other","HM Prison and Probation Service",NA,"Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Any other qualification",NA,NA,NA,NA,NA,NA,NA,NA,NA,"All the time","Yes","Yes","I don't know","No","I don't know","Yes","I don't know","I don't know","Yes","No","I don't know",NA,"Yes","Not required for my work","No","Yes","No","Not required for my work","Yes","Not required for my work","Yes","No",NA,"Yes","Yes","Yes","Previous private sector employment","It has become slightly better","No",NA,NA,NA,"Disagree","Disagree","Disagree","Strongly Agree","Neutral","Strongly Disagree","Strongly Agree","Agree","Never","Regularly","Never","I don't understand this question","Rarely","Sometimes","Regularly","All the time","I don't understand this question","All the time","Never","Rarely","Rarely","Regularly","Regularly","Sometimes","All the time","All the time","Sometimes","Sometimes","Never","I don't know","Yes","Yes","some text","some text","some text","some text"
100000007,8,NA,NA,"100.00.000.00",NA,1697739300,1699539300,"Default Web Link","Civil service, including devolved administrations","Grade 7 (or equivalent)","Office of the Secretary of State for Wales",NA,"Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Any other qualification",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Regularly","No","Yes","Yes","Yes","I don't know","No","No","No","Yes","I don't know","Yes",NA,"No","Not required for my work","Not required for my work","Yes","Not required for my work","Not required for my work","Not required for my work","No","Yes","Yes","some text","Yes","No","I don't know",NA,NA,"No",NA,NA,NA,"Strongly Agree","Neutral","Strongly Disagree","Disagree","Agree","Agree","Neutral","Strongly Disagree","All the time","I don't understand this question","Rarely","All the time","Rarely","Rarely","Rarely","I don't understand this question","Sometimes","Never","Never","I don't understand this question","Never","Regularly","All the time","Never","I don't understand this question","I don't understand this question","Sometimes","Rarely","I don't understand this question","No","Yes","I don't know",NA,NA,"some text","some text"
